web_pid,pdp_title_value,price_sp,pdp_rating_value,pdp_rating_count,pdp_page_url
B0CJJKSXW1,"Ross Heating Bag, Hot Water Bags for Pain Relief, Heating Pad-Heat Pouch Hot Water Bottle Bag, Electric Hot Water Bag, Heating Pad for Pain Relief- with Hand Warmer Pockets (Assorted Colors)",199,4.7,22,https://www.amazon.in/ross-heating-bag-hot-water-bags-for-pain-relief-heating-pad-heat-pouch-hot-water-bottle-bag-electric-hot-water-bag-heating-pad-for-pain-relief-with-hand-warmer-pockets-assorted-colors/dp/B0CJJKSXW1
B0C8BGFJQZ,DaisyStar Women Fashion Handbags Tote Purses Stylish Ladies Women and Girls Handbag for Office Bag Ladies Travel Shoulder Bag Tote for College Girls Handbag_Variation_10,379,4.3,20,https://www.amazon.in/daisystar-women-fashion-handbags-tote-purses-stylish-ladies-women-and-girls-handbag-for-office-bag-ladies-travel-shoulder-bag-tote-for-college-girls-handbag-variation-10/dp/B0C8BGFJQZ
B00MGFZGVK,"Tetley Green Tea, Lemon And Honey, 100 Tea Bags, 140 Grams",421,4.3,51918,https://www.amazon.in/tetley-green-tea-lemon-and-honey-100-tea-bags-140-grams/dp/B00MGFZGVK
B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,449,4.0,6220,https://www.amazon.in/adisa-light-weight-laptop-backpack-32-ltrs/dp/B07F3X45WZ
B0821QGBDY,"Presto! Oxo-Biodegradable Garbage Bags, XL (30 x 37 inches) - 10 bags/roll (Pack of 6, Black, plastic)",389,4.3,2112,https://www.amazon.in/presto-oxo-biodegradable-garbage-bags-xl-30-x-37-inches-10-bags-roll-pack-of-6-black-plastic/dp/B0821QGBDY
B0CJ3FDW3K,Half Moon Hercules 55L Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover (Black),689,5.0,4,https://www.amazon.in/half-moon-hercules-55l-travelling-laptop-bag-rucksack-backpack-for-luggage-travel-journey-trekking-hiking-bags-for-men-women-boys-and-girls-with-laptop-compartment-rain-cover-black/dp/B0CJ3FDW3K
B088X9M73T,"Mi Step Out 12 L Mini Backpack (Small Size, Sky Blue, Water Repellant)",229,4.1,10291,https://www.amazon.in/mi-step-out-12-l-mini-backpack-small-size-sky-blue-water-repellant/dp/B088X9M73T
B08RC39B71,"The Deal Men's 15.6 Inch Polyester Casual Laptop Backpack, Travel Computer Bag Water Resistant College Work School Bag (Blue)",399,3.4,502,https://www.amazon.in/the-deal-men-s-15-6-inch-polyester-casual-laptop-backpack-travel-computer-bag-water-resistant-college-work-school-bag-blue/dp/B08RC39B71
B0C23Z9W18,Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,357,https://www.amazon.in/half-moon-aztec-37l-school-bag-class-5-12-college-bagpack-for-men-college-back-pack-for-women-15-6-inch-laptop-bag-for-men-backpack-for-men-spacious-multiple-pockets/dp/B0C23Z9W18
B07N15QM1C,American Tourister Ohio Polyester 55 Cms Wheel Travel Duffle Bag (Grey),1699,4.0,1160,https://www.amazon.in/american-tourister-ohio-polyester-55-cms-wheel-travel-duffle-bag-grey/dp/B07N15QM1C
B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,449,4.0,6220,https://www.amazon.in/adisa-light-weight-laptop-backpack-32-ltrs/dp/B07F3X45WZ
B07TTCXHRH,Dell Essential Backpack 15 (ES1520P),1036,4.0,6897,https://www.amazon.in/dell-essential-backpack-15-es1520p/dp/B07TTCXHRH
B075MK4TXP,Gear Aspire 30L Medium Water Restant Office Laptop Bag/Backpack for Men/Women (Black),994,4.3,6593,https://www.amazon.in/gear-aspire-30l-medium-water-restant-office-laptop-bag-backpack-for-men-women-black/dp/B075MK4TXP
